Name,ISIN,TF_Indication,Symbol,Symbol_PortfVis
3M Co.,US88579Y1010,DI,MMM,
AAON Inc.,US0003602069,DI,AAON,
adidas AG,DE000A1EWWW0,EI,,ADDYY
Adtran Networks SE,DE0005103006,EI,,
Agco Corp,US0010841023,DI,AGCO,
Akamai Tech,US00971T1016,DI,AKAM,
Anheuser-Busch InBev N.V./S.A.,BE0974293251,EI,BUD,
Aon PLC,IE00BLP1HW54,EI,AON,
Archer Daniels Midland Company,US0394831020,DI,ADM,
Arrow Electronics Inc.,US0427351004,DI,ARW,
Assa Abloy AB,SE0007100581,SKI,,ASAZY
Aurubis AG,DE0006766504,EI,,AIAGY
Badger Meter Inc.,US0565251081,DI,BMI,
Bank of Nova Scotia (The),CA0641491075,DI,BNS,
BASF SE,DE000BASF111,EI,,BASFY
British American Tobacco PLC,GB0002875804,GPI,BAT,BTI
Bayer AG,DE000BAY0017,EI,,BAYRY
Becton Dickinson,US0758871091,DI,BDX,
Betsson AB,SE0020845014,SKI,,
BKW AG,CH0130293662,CHI,,
Bayr Motoren Werke (BMW),DE0005190003,EI,,BMWYY
Bollore S.A.,FR0000039299,EI,,
Borregaard ASA,NO0010657505,NKI,,
Brady Corp.,US1046741062,DI,BRC,
BROWN & BROWN,US1152361010,DI,BRO,
BW LPG Ltd.,BMG173841013,NKI,,BWLLY
Boyd Gaming Corp.,US1033041013,DI,BYD,
Canadian National Railway Co.,CA1363751027,DI,,CNR:CA
Canadian Natural Resources Ltd.,CA1363851017,DI,CNQ,
Carl Zeiss,DE0005313704,EI,,CZMWY
CDW Corp.,US12514G1085,DI,CDW,
Cewe Stiftung,DE0005403901,EI,,
Charles River Lab,US1598641074,DI,CRL,
Check Point Software Technologies Ltd.,IL0010824113,DI,CHKP,
Cliq Digital AG,DE000A35JS40,EI,,
Comcast Corp. New Class A,US20030N1019,DI,CMCSA,
Compass Group,GB00BD6K4575,GPI,,CMPGY
ConocoPhillips,US20825C1045,DI,COP,
CONSOL Energy Inc,US20854L1089,DI,CEIX,
Constellation Software Inc.,CA21037X1006,DI,,CSU:CA
CoStar Group Inc.,US22160N1090,DI,CSGP,
Costco Wholesale Corp.,US22160K1051,DI,COST,
CTS Eventim AG & Co. KgaA,DE0005470306,EI,,
CubeSmart,US2296631094,DI,CUBE,
Cullen/Frost Bankers Inc,US2298991090,DI,CFR,
Dassault Systemes SE,FR0014003TT8,EI,,DASTY
Deckers Outdoor,US2435371073,DI,DECK,
Descartes Systems Group Inc. (The),CA2499061083,DI,DSGX,
Diageo PLC,GB0002374006,GPI,DEO,
Dolby Lab.,US25659T1079,DI,DLB,
Donaldson Co,US2576511099,DI,DCI,
Dorchester Minerals LP,US25820R1059,DI,DMLP,
DSV Panalpina A/S,DK0060079531,DKI,,DSDVY
DWS GROUP GMBH+CO.KGAA ON,DE000DWS1007,EI,,
Eckert & Ziegler Strahlen- und Medizintechnik AG,DE0005659700,EI,,
Elisa Oyj,FI0009007884,EI,,
Epsilon Energy,CA2943752097,DI,EPSN,
Equinix Inc.,US29444U7000,DI,EQIX,
Equinor ASA,NO0010096985,NKI,EQNR,
Euronext N.V.,NL0006294274,EI,,EUXTF
Evolution Gaming Group AB,SE0012673267,SKI,,EVVTY
ExlService Holdings Inc,US3020811044,DI,EXLS,
Federal Signal Corp,US3138551086,DI,FSS,
Five Below Inc.,US33829M1018,DI,FIVE,
Fortinet,US34959E1091,DI,FTNT,
Fortive Corp.,US34959J1088,DI,FTV,
Freenet AG,DE000A0Z2ZZ5,EI,,FRTAF
FTI Consulting,US3029411093,DI,FCN,
Garmin,CH0114405324,CHI,GRMN,
GEA Group AG,DE0006602006,EI,,
Genmab A/S,DK0010272202,DKI,GMAB,
GFT Technologies SE,DE0005800601,EI,,
Globant S.A.,LU0974299876,EI,GLOB,
Graphic Packaging Holding Co.,US3886891015,DI,GPK,
Hershey Co. (The),US4278661081,DI,HSY,
Hexagon AB,SE0015961909,SKI,,HXGBY
HMS Industrial Networks AB,SE0009997018,SKI,,
Huhtamaeki OYJ,FI0009000459,EI,,
Humana Inc.,US4448591028,DI,HUM,
Icon Plc,IE0005711209,EI,ICLR,
Infineon Technologies AG,DE0006231004,EI,,IFNNY
Infosys Ltd. (ADRs),US4567881085,DI,INFY,
Insight Enterprises Inc.,US45765U1034,DI,NSIT,
Johnson & Johnson,US4781601046,DI,JNJ,
Jungheinrich AG,DE0006219934,EI,,
Kuehne + Nagel International AG,CH0025238863,CHI,,KHNGY
KWS SAAT SE & Co.KgaA,DE0007074007,EI,,
Lincoln Electric Holdings Inc.,US5339001068,DI,LECO,
Magna International Inc.,CA5592224011,DI,MGA,
Mastercard Inc.,US57636Q1040,DI,MA,
Mercedes-Benz Group AG,DE0007100000,EI,,DMLRY
Meta Platforms Inc.,US30303M1027,DI,META,
Mondelez International Inc.,US6092071058,DI,MDLZ,
Monster Beverages,US61174X1090,DI,MNST,
Mosaic Co. (The),US61945C1036,DI,MOS,
Mplx LP,US55336V1008,DI,MPLX,
MSC Industrial Direct Co Inc.,US5535301064,DI,MSM,
National Grid PLC,US6362744095,DI,NGG,
Nestle S.A.,CH0038863350,CHI,,NSRGY
Netflix Inc.,US64110L1061,DI,NFLX,
Neurocrine Biosciences Inc.,US64125C1099,DI,NBIX,
Nexstar Media Group Inc.,US65336K1034,DI,NXST,
Nike,US6541061031,DI,NKE,
NXP Semiconductors NV,NL0009538784,EI,NXPI,
Omnicom Group Inc.,US6819191064,DI,OMC,
ONO Pharmaceutical Co. Ltd.,JP3197600004,DI,,OPHLY
Paccar Inc.,US6937181088,DI,PCAR,
Paycom Software,US70432V1026,DI,PAYC,
Paylocity Holding Corp.,US70438V1061,DI,PCTY,
PayPal Holdings Inc.,US70450Y1038,DI,PYPL,
"PepsiCo, Inc.",US7134481081,DI,PEP,
Pfeiffer Vauum Tech,DE0006916604,EI,,
Pfizer Inc,US7170811035,DI,PFE,
PlayWay S.A.,PLPLAYW00015,EI,,
Power Integrations Inc.,US7392761034,DI,POWI,
PTC Inc.,US69370C1009,DI,PTC,
Publicis Groupe S.A.,FR0000130577,EI,,PUBGY
Pulte Group Inc.,US7458671010,DI,PHM,
Qualys Inc.,US74758T3032,DI,QLYS,
Quanta Services Inc.,US74762E1029,DI,PWR,
Realty Income,US7561091049,DI,O,
Reckitt Benckiser Group PLC,GB00B24CGK77,GPI,,RBGLY
Recruit Holdings,JP3970300004,EI,,RCRUY
Reinsurance Group of America,US7593516047,DI,RGA,
Resmed Inc.,US7611521078,DI,RMD,
Richter Gedeon Vegyeszeti Gyar Nyrt.,HU0000123096,EI,,
Rightmove PLC,GB00BGDT3G23,GPI,,RTMVY
Rockwell Automation Inc.,US7739031091,DI,ROC,
RPM Intl. Inc.,US7496851038,DI,RPM,
Sanofi S.A.,FR0000120578,EI,SNY,
Sartorius AG,DE0007165607,EI,,
Schneider Electric SE,FR0000121972,EI,,SBGSY
Siemens AG,DE0007236101,EI,,SIEGY
Sociedad Quimica y Minera de Chile S.A. (ADRs),US8336351056,DI,SQM,
Southern Copper Corp.,US84265V1052,DI,SCCO,
Steico,DE000A0LR936,EI,,
Strabag SE,AT000000STR1,EI,,
Super Micro Computer Inc.,US86800U1043,DI,SMCI,
Surgical Science Sweden AB,SE0014428512,SKI,,
Suess MicroTec SE,DE000A1K0235,EI,,SESMF
Tapestry Inc.,US8760301072,DI,TPR,
Telekom Austria,AT0000720008,EI,,
Tencent Hldgs,KYG875721634,DI,,TCEHY
Timken Co.,US8873891043,DI,TKR,
Tinexta SpA,IT0005037210,DI,,
Tootsie Roll Industries,US8905161076,DI,TR,
Torm PLC,GB00BZ3CNK81,GPI,TRMD,
Transdigm,US8936411003,DI,TDG,
T Rowe Price,US74144T1088,DI,TROW,
Taiwan Semiconductor Manufacturing Co. Ltd. (ADRs) (TSMC),US8740391003,DI,TSM,
Tyler Techs,US9022521051,DI,TYL,
Unilever Plc,GB00B10RZP78,GPI,UL,
Vale S.A.,BRVALEACNOR0,EI,VALE,
Volvo AB,SE0000115446,SKI,,VLVLY
Wabtec Corp.,US9297401088,DI,WAB,
Waste Connection,CA94106B1013,DI,WCN,
Waste Management Inc.,US94106L1098,DI,WM,
Xylem Inc.,US98419M1009,DI,XYL,
Zoetis Inc,US98978V1035,DI,ZTS,
